GameID,Date,Home Team,Away Team,Season
109246,2021-01-13,Philadelphia Flyers,Pittsburgh Penguins,2020-2021
109243,2021-01-14,Toronto Maple Leafs,Montreal Canadiens,2020-2021
109245,2021-01-14,Tampa Bay Lightning,Chicago Blackhawks,2020-2021
109244,2021-01-14,Edmonton Oilers,Vancouver Canucks,2020-2021
109242,2021-01-14,Colorado Avalanche,St. Louis Blues,2020-2021
109249,2021-01-15,Buffalo Sabres,Washington Capitals,2020-2021
109250,2021-01-15,New York Rangers,New York Islanders,2020-2021
109251,2021-01-15,New Jersey Devils,Boston Bruins,2020-2021
109256,2021-01-15,Detroit Red Wings,Carolina Hurricanes,2020-2021
109248,2021-01-15,Nashville Predators,Columbus Blue Jackets,2020-2021
109252,2021-01-15,Winnipeg Jets,Calgary Flames,2020-2021
109247,2021-01-15,Arizona Coyotes,San Jose Sharks,2020-2021
109255,2021-01-15,Edmonton Oilers,Vancouver Canucks,2020-2021
109253,2021-01-15,Los Angeles Kings,Minnesota Wild,2020-2021
109257,2021-01-15,Vegas Golden Knights,Anaheim Ducks,2020-2021
109258,2021-01-16,Buffalo Sabres,Washington Capitals,2020-2021
109261,2021-01-16,Ottawa Senators,Toronto Maple Leafs,2020-2021
109262,2021-01-16,Philadelphia Flyers,Pittsburgh Penguins,2020-2021
109263,2021-01-16,Tampa Bay Lightning,Chicago Blackhawks,2020-2021
109259,2021-01-16,Colorado Avalanche,St. Louis Blues,2020-2021
109264,2021-01-16,New Jersey Devils,Boston Bruins,2020-2021
109270,2021-01-16,Arizona Coyotes,San Jose Sharks,2020-2021
109266,2021-01-17,Ottawa Senators,Toronto Maple Leafs,2020-2021
109267,2021-01-17,New York Rangers,New York Islanders,2020-2021
109272,2021-01-17,Detroit Red Wings,Carolina Hurricanes,2020-2021
109273,2021-01-17,Edmonton Oilers,Montreal Canadiens,2020-2021
109271,2021-01-17,Nashville Predators,Columbus Blue Jackets,2020-2021
109268,2021-01-17,Los Angeles Kings,Minnesota Wild,2020-2021
109265,2021-01-17,Vegas Golden Knights,Anaheim Ducks,2020-2021
109269,2021-01-17,Calgary Flames,Vancouver Canucks,2020-2021
109275,2021-01-17,Pittsburgh Penguins,Washington Capitals,2020-2021
109274,2021-01-18,Florida Panthers,Chicago Blackhawks,2020-2021
109283,2021-01-18,Detroit Red Wings,Columbus Blue Jackets,2020-2021
109286,2021-01-18,New York Islanders,Boston Bruins,2020-2021
109279,2021-01-19,Toronto Maple Leafs,Winnipeg Jets,2020-2021
109277,2021-01-19,Philadelphia Flyers,Buffalo Sabres,2020-2021
109280,2021-01-19,St. Louis Blues,San Jose Sharks,2020-2021
109281,2021-01-19,Nashville Predators,Carolina Hurricanes,2020-2021
109282,2021-01-19,Edmonton Oilers,Montreal Canadiens,2020-2021
109284,2021-01-19,Calgary Flames,Vancouver Canucks,2020-2021
109285,2021-01-19,Anaheim Ducks,Minnesota Wild,2020-2021
109278,2021-01-19,Vegas Golden Knights,Arizona Coyotes,2020-2021
109288,2021-01-20,Florida Panthers,Chicago Blackhawks,2020-2021
109291,2021-01-20,New York Rangers,New Jersey Devils,2020-2021
109292,2021-01-20,Ottawa Senators,Winnipeg Jets,2020-2021
109293,2021-01-20,Philadelphia Flyers,Buffalo Sabres,2020-2021
109294,2021-01-20,Pittsburgh Penguins,Washington Capitals,2020-2021
109287,2021-01-20,Detroit Red Wings,Columbus Blue Jackets,2020-2021
109289,2021-01-20,Los Angeles Kings,Colorado Avalanche,2020-2021
109298,2021-01-21,Toronto Maple Leafs,Edmonton Oilers,2020-2021
109299,2021-01-21,St. Louis Blues,San Jose Sharks,2020-2021
109300,2021-01-21,Anaheim Ducks,Minnesota Wild,2020-2021
109296,2021-01-21,Vegas Golden Knights,Arizona Coyotes,2020-2021
