Game ID,Team ID,First Period Goals,Sceond Period Goals,Third Period Goals,Overtime Goals,Final Score,Win,Loss,OT Loss,Points
109246,695,2,1,3,0,6,1,0,0,2
109246,696,1,1,1,0,3,0,1,0,0
109243,700,1,2,1,1,5,1,0,0,2
109243,688,2,1,1,0,4,0,0,1,1
109245,699,3,1,1,0,5,1,0,0,2
109245,678,0,0,1,0,1,0,1,0,0
109244,683,0,1,2,0,3,0,1,0,0
109244,701,1,1,3,0,5,1,0,0,2
109242,679,1,0,0,0,1,0,1,0,0
109242,698,2,0,2,0,4,1,0,0,2
109249,674,1,1,2,0,4,0,1,0,0
109249,703,2,2,2,0,6,1,0,0,2
109250,692,0,0,0,0,0,0,1,0,0
109250,691,3,1,0,0,4,1,0,0,2
109251,690,0,0,2,0,2,0,1,0,0
109251,673,1,0,1,0,3,1,0,0,2
109256,682,0,0,0,0,0,0,1,0,0
109256,676,1,0,2,0,3,1,0,0,2
109248,689,0,1,2,0,3,1,0,0,2
109248,680,1,0,0,0,1,0,1,0,0
109252,704,1,2,0,1,4,1,0,0,2
109252,675,3,0,0,0,3,0,0,1,1
109247,671,0,1,2,0,3,0,1,0,0
109247,697,2,0,1,0,4,1,0,0,2
109255,683,2,2,1,0,5,1,0,0,2
109255,701,0,2,0,0,2,0,1,0,0
109253,685,1,2,0,0,3,0,0,1,1
109253,687,1,0,2,1,4,1,0,0,2
109257,702,2,0,3,0,5,1,0,0,2
109257,670,2,0,0,0,2,0,1,0,0
109258,674,0,0,1,0,1,0,1,0,0
109258,703,0,1,1,0,2,1,0,0,2
109261,693,1,3,1,0,5,1,0,0,2
109261,700,1,1,1,0,3,0,1,0,0
109262,695,3,0,2,0,5,1,0,0,2
109262,696,2,0,0,0,2,0,1,0,0
109263,699,0,3,2,0,5,1,0,0,2
109263,678,0,2,0,0,2,0,1,0,0
109259,679,0,4,4,0,8,1,0,0,2
109259,698,0,0,0,0,0,0,1,0,0
109264,690,1,0,0,1,2,1,0,0,2
109264,673,0,1,0,0,1,0,0,1,1
109270,671,2,2,1,0,5,1,0,0,2
109270,697,2,0,1,0,3,0,1,0,0
109266,693,1,0,1,0,2,0,1,0,0
109266,700,1,1,1,0,3,1,0,0,2
109267,692,2,2,1,0,5,1,0,0,2
109267,691,0,0,0,0,0,0,1,0,0
109272,682,0,1,3,0,4,1,0,0,2
109272,676,0,0,2,0,2,0,1,0,0
109273,683,0,0,1,0,1,0,1,0,0
109273,688,1,3,1,0,5,1,0,0,2
109271,689,1,0,4,0,5,1,0,0,2
109271,680,1,0,1,0,2,0,1,0,0
109268,685,1,2,0,0,3,0,0,1,1
109268,687,1,0,2,1,4,1,0,0,2
109265,702,0,0,1,1,2,1,0,0,2
109265,670,0,1,0,0,1,0,0,1,1
109269,675,1,1,1,0,3,1,0,0,2
109269,701,0,0,0,0,0,0,1,0,0
109275,696,1,2,0,0,4,1,0,0,2
109275,703,2,1,0,0,3,0,1,0,0
109274,684,0,2,3,0,5,1,0,0,2
109274,678,0,1,1,0,2,0,1,0,0
109283,682,1,0,1,0,2,0,1,0,0
109283,680,0,1,2,0,3,1,0,0,2
109286,691,0,0,1,0,1,1,0,0,2
109286,673,0,0,0,0,0,0,1,0,0
109279,700,0,2,1,0,3,1,0,0,2
109279,704,0,1,0,0,1,0,1,0,0
109277,695,0,0,1,0,1,0,1,0,0
109277,674,1,3,2,0,6,1,0,0,2
109280,698,0,4,1,0,5,1,0,0,2
109280,697,2,1,1,0,4,0,1,0,0
109281,689,0,1,1,0,2,0,1,0,0
109281,676,0,1,3,0,4,1,0,0,2
109282,683,0,0,1,0,1,0,1,0,0
109282,688,1,1,1,0,3,1,0,0,2
109284,675,0,3,2,0,5,1,0,0,2
109284,701,1,0,1,0,2,0,1,0,0
109285,670,0,0,1,0,1,1,0,0,2
109285,687,0,0,0,0,0,0,1,0,0
109278,702,0,1,3,0,4,1,0,0,2
109278,671,1,1,0,0,2,0,1,0,0
109288,684,2,1,1,1,5,1,0,0,2
109288,678,1,2,1,0,4,0,0,1,1
109291,692,0,2,1,0,3,0,1,0,0
109291,690,1,3,0,0,4,1,0,0,2
109292,693,2,1,0,0,3,0,0,1,1
109292,704,1,1,1,1,4,1,0,0,2
